Date,Territory,Interviews,NCNS to Interview,Open Major Hiring Needs,Hires in WellSky - Tyler
8/7/22,Tyler,17,5,1,1
8/14/22,Tyler,19,8,0,9
8/21/22,Tyler,23,15,0,5
8/28/22,Tyler,0,0,0,4
9/4/22,Tyler,0,0,0,0
9/11/22,Tyler,17,10,1,1
9/18/22,Tyler,8,3,4,3
9/25/22,Tyler,19,8,4,4
10/2/22,Tyler,17,8,5,0
10/9/22,Tyler,22,8,4,14
10/16/22,Tyler,27,14,3,7
10/23/22,Tyler,12,3,5,5
10/30/22,Tyler,22,12,4,3
11/6/22,Tyler,21,11,4,6
11/13/22,Tyler,25,9,5,6
11/20/22,Tyler,23,9,6,0
11/27/22,Tyler,6,3,5,1
12/4/22,Tyler,15,6,6,3
12/11/22,Tyler,17,4,6,5
12/18/22,Tyler,27,10,5,9
12/25/22,Tyler,19,9,4,0
1/1/23,Tyler,8,4,2,8
1/8/23,Tyler,7,6,2,0
1/15/23,Tyler,6,2,4,2
1/22/23,Tyler,8,2,4,2
1/29/23,Tyler,12,2,4,4
2/5/23,Tyler,7,3,2,2
2/12/23,Tyler,5,3,1,0
2/19/23,Tyler,3,3,1,0
2/26/23,Tyler,8,4,2,1
3/5/23,Tyler,8,3,2,3
3/12/23,Tyler,17,7,4,1
3/19/23,Tyler,14,5,6,4
3/26/23,Tyler,10,6,7,1
4/2/23,Tyler,14,5,6,4
4/9/23,Tyler,23,8,8,6
4/16/23,Tyler,21,11,4,4
4/23/23,Tyler,21,10,2,2
4/30/23,Tyler,17,12,1,1
5/7/23,Tyler,23,17,7,3
5/14/23,Tyler,12,3,4,4
5/21/23,Tyler,15,10,6,5
5/28/23,Tyler,23,14,6,2
6/4/23,Tyler,23,8,6,9
6/11/23,Tyler,0,0,0,0
8/7/22,Longview,31,26,3,7
8/14/22,Longview,26,12,3,6
8/21/22,Longview,23,20,3,3
8/28/22,Longview,22,15,4,4
9/4/22,Longview,18,10,6,3
9/11/22,Longview,17,9,3,7
9/18/22,Longview,14,8,2,1
9/25/22,Longview,13,8,3,6
10/2/22,Longview,16,7,3,0
10/9/22,Longview,5,2,2,5
10/16/22,Longview,18,9,3,7
10/23/22,Longview,3,1,0,3
10/30/22,Longview,9,4,2,1
11/6/22,Longview,6,3,3,3
11/13/22,Longview,8,5,2,0
11/20/22,Longview,17,8,4,0
11/27/22,Longview,7,4,3,2
12/4/22,Longview,4,1,0,3
12/11/22,Longview,11,7,1,2
12/18/22,Longview,0,0,0,1
12/25/22,Longview,0,0,0,0
1/1/23,Longview,6,4,2,0
1/8/23,Longview,21,11,2,7
1/15/23,Longview,19,10,10,5
1/22/23,Longview,28,17,10,5
1/29/23,Longview,7,1,4,3
2/5/23,Longview,17,12,5,3
2/12/23,Longview,19,10,6,3
2/19/23,Longview,17,7,7,5
2/26/23,Longview,19,11,10,4
3/5/23,Longview,24,8,12,0
3/12/23,Longview,20,8,7,2
3/19/23,Longview,15,8,12,3
3/26/23,Longview,12,6,6,2
4/2/23,Longview,13,7,10,4
4/9/23,Longview,16,6,8,7
4/16/23,Longview,16,9,6,2
4/23/23,Longview,28,16,4,3
4/30/23,Longview,19,7,8,6
5/7/23,Longview,26,20,3,2
5/14/23,Longview,16,10,5,1
5/21/23,Longview,29,13,7,6
5/28/23,Longview,35,13,9,5
6/4/23,Longview,27,13,8,3
6/11/23,Longview,0,0,0,0
8/7/22,Corsicana,9,5,1,1
8/14/22,Corsicana,10,4,2,2
8/21/22,Corsicana,7,6,1,0
8/28/22,Corsicana,0,0,0,0
9/4/22,Corsicana,0,0,0,0
9/11/22,Corsicana,9,7,2,1
9/18/22,Corsicana,0,0,0,0
9/25/22,Corsicana,6,6,1,0
10/2/22,Corsicana,14,7,2,0
10/9/22,Corsicana,9,5,1,1
10/16/22,Corsicana,10,5,1,6
10/23/22,Corsicana,6,3,0,1
10/30/22,Corsicana,2,1,0,1
11/6/22,Corsicana,4,4,0,0
11/13/22,Corsicana,4,1,2,4
11/20/22,Corsicana,18,7,3,0
11/27/22,Corsicana,3,2,0,1
12/4/22,Corsicana,5,1,0,1
12/11/22,Corsicana,3,1,0,1
12/18/22,Corsicana,3,0,1,0
12/25/22,Corsicana,6,3,1,0
1/1/23,Corsicana,1,1,0,1
1/8/23,Corsicana,4,3,1,1
1/15/23,Corsicana,9,6,2,0
1/22/23,Corsicana,6,4,2,4
1/29/23,Corsicana,9,5,2,3
2/5/23,Corsicana,6,1,2,0
2/12/23,Corsicana,6,1,4,3
2/19/23,Corsicana,5,0,1,2
2/26/23,Corsicana,6,2,2,1
3/5/23,Corsicana,0,0,0,0
3/12/23,Corsicana,8,1,3,3
3/19/23,Corsicana,3,1,2,0
3/26/23,Corsicana,8,5,2,1
4/2/23,Corsicana,14,6,3,4
4/9/23,Corsicana,6,3,4,2
4/16/23,Corsicana,7,4,2,4
4/23/23,Corsicana,10,4,2,1
4/30/23,Corsicana,10,4,2,2
5/7/23,Corsicana,7,3,3,2
5/14/23,Corsicana,4,2,4,1
5/21/23,Corsicana,8,2,5,1
5/28/23,Corsicana,17,8,5,8
6/4/23,Corsicana,5,2,5,1
6/11/23,Corsicana,0,0,0,0
8/7/22,Nac.,2,1,1,0
8/14/22,Nac.,3,0,0,0
8/21/22,Nac.,10,6,0,2
8/28/22,Nac.,14,5,2,4
9/4/22,Nac.,14,9,2,1
9/11/22,Nac.,18,10,9,1
9/18/22,Nac.,21,14,4,5
9/25/22,Nac.,10,3,4,3
10/2/22,Nac.,16,11,3,0
10/9/22,Nac.,34,17,5,8
10/16/22,Nac.,16,4,4,2
10/23/22,Nac.,22,8,5,2
10/30/22,Nac.,8,5,4,2
11/6/22,Nac.,34,18,4,5
11/13/22,Nac.,22,13,4,5
11/20/22,Nac.,14,7,3,0
11/27/22,Nac.,3,2,2,1
12/4/22,Nac.,15,9,2,3
12/11/22,Nac.,15,6,2,1
12/18/22,Nac.,4,2,0,1
12/25/22,Nac.,13,3,3,0
1/1/23,Nac.,6,3,1,2
1/8/23,Nac.,9,2,1,1
1/15/23,Nac.,5,2,1,1
1/22/23,Nac.,10,5,3,1
1/29/23,Nac.,3,1,0,2
2/5/23,Nac.,10,4,2,1
2/12/23,Nac.,11,4,5,2
2/19/23,Nac.,14,4,5,1
2/26/23,Nac.,11,4,5,2
3/5/23,Nac.,11,6,3,2
3/12/23,Nac.,7,4,4,1
3/19/23,Nac.,10,6,4,1
3/26/23,Nac.,8,4,6,1
4/2/23,Nac.,11,5,9,3
4/9/23,Nac.,17,9,5,4
4/16/23,Nac.,2,0,0,4
4/23/23,Nac.,0,0,0,0
4/30/23,Nac.,7,2,7,3
5/7/23,Nac.,7,3,7,0
5/14/23,Nac.,13,7,8,1
5/21/23,Nac.,11,6,7,3
5/28/23,Nac.,19,11,11,2
6/4/23,Nac.,28,13,9,5
6/11/23,Nac.,0,0,0,0
8/7/22,Tex,0,0,0,3
8/14/22,Tex,11,6,0,0
8/21/22,Tex,8,4,0,2
8/28/22,Tex,0,0,0,0
9/4/22,Tex,6,1,1,0
9/11/22,Tex,15,7,3,6
9/18/22,Tex,12,7,2,1
9/25/22,Tex,11,4,0,7
10/2/22,Tex,0,0,0,0
10/9/22,Tex,0,0,0,1
10/16/22,Tex,0,0,0,1
10/23/22,Tex,0,0,0,0
10/30/22,Tex,0,0,0,0
11/6/22,Tex,0,0,0,0
11/13/22,Tex,0,0,0,0
11/20/22,Tex,0,0,0,0
11/27/22,Tex,0,0,0,0
12/4/22,Tex,0,0,0,0
12/11/22,Tex,0,0,0,0
12/18/22,Tex,0,0,0,0
12/25/22,Tex,0,0,0,0
1/1/23,Tex,0,0,0,1
1/8/23,Tex,0,0,0,1
1/15/23,Tex,1,0,1,1
1/22/23,Tex,0,0,0,0
1/29/23,Tex,0,0,0,0
2/5/23,Tex,0,0,0,0
2/12/23,Tex,0,0,0,0
2/19/23,Tex,0,0,0,0
2/26/23,Tex,8,3,3,2
3/5/23,Tex,0,0,1,1
3/12/23,Tex,11,2,3,1
3/19/23,Tex,17,3,4,3
3/26/23,Tex,0,0,1,1
4/2/23,Tex,14,4,5,1
4/9/23,Tex,0,0,5,3
4/16/23,Tex,13,5,5,3
4/23/23,Tex,28,9,6,6
4/30/23,Tex,0,0,3,3
5/7/23,Tex,5,3,0,0
5/14/23,Tex,3,2,2,0
5/21/23,Tex,12,4,2,3
5/28/23,Tex,6,3,2,1
6/4/23,Tex,19,8,1,2
6/11/23,Tex,0,0,0,0
8/7/22,Sulphur Springs,0,0,0,0
8/14/22,Sulphur Springs,0,0,0,0
8/21/22,Sulphur Springs,0,0,0,0
8/28/22,Sulphur Springs,0,0,0,0
9/4/22,Sulphur Springs,0,0,0,0
9/11/22,Sulphur Springs,0,0,0,0
9/18/22,Sulphur Springs,0,0,0,0
9/25/22,Sulphur Springs,0,0,0,0
10/2/22,Sulphur Springs,0,0,0,0
10/9/22,Sulphur Springs,0,0,0,0
10/16/22,Sulphur Springs,0,0,0,0
10/23/22,Sulphur Springs,0,0,0,0
10/30/22,Sulphur Springs,0,0,0,0
11/6/22,Sulphur Springs,0,0,0,0
11/13/22,Sulphur Springs,0,0,0,0
11/20/22,Sulphur Springs,0,0,0,0
11/27/22,Sulphur Springs,0,0,0,0
12/4/22,Sulphur Springs,0,0,0,0
12/11/22,Sulphur Springs,0,0,0,0
12/18/22,Sulphur Springs,0,0,0,0
12/25/22,Sulphur Springs,0,0,0,0
1/1/23,Sulphur Springs,0,0,0,0
1/8/23,Sulphur Springs,0,0,0,0
1/15/23,Sulphur Springs,0,0,0,0
1/22/23,Sulphur Springs,0,0,0,0
1/29/23,Sulphur Springs,0,0,0,0
2/5/23,Sulphur Springs,0,0,0,0
2/12/23,Sulphur Springs,0,0,0,0
2/19/23,Sulphur Springs,0,0,0,0
2/26/23,Sulphur Springs,0,0,0,0
3/5/23,Sulphur Springs,0,0,0,0
3/12/23,Sulphur Springs,0,0,0,0
3/19/23,Sulphur Springs,0,0,0,0
3/26/23,Sulphur Springs,3,1,2,3
4/2/23,Sulphur Springs,0,0,2,0
4/9/23,Sulphur Springs,0,0,0,0
4/16/23,Sulphur Springs,0,0,0,1
4/23/23,Sulphur Springs,0,0,0,0
4/30/23,Sulphur Springs,0,0,0,0
5/7/23,Sulphur Springs,7,3,1,0
5/14/23,Sulphur Springs,11,4,2,1
5/21/23,Sulphur Springs,5,3,1,3
5/28/23,Sulphur Springs,6,3,1,0
6/4/23,Sulphur Springs,11,6,0,2
6/11/23,Sulphur Springs,0,0,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
