Date,Interviews Scheduled - Tyler,Interviews Scheduled - Longview,Interviews Scheduled - Corsicana,Interviews Scheduled - Nacodoches,Interviews Scheduled - Texarkana,Interviews Scheduled - Sulphur Springs,NCNS to Interview - Tyler,NCNS to Interview - Longview,NCNS to Interview - Corsicana,NCNS to Interview - Nacodoches,NCNS to Interview - Texarkana,NCNS to Interview - Sulphur Springs,Open Major Hiring Needs - Tyler,Open Major Hiring Needs - Longview,Open Major Hiring Needs - Corsicana,Open Major Hiring Needs - Nacodoches,Open Major Hiring Needs - Texarkana,Open Major Hiring Needs - Sulphur Springs,Hires in WellSky - Tyler,Hires in WellSky - Longview,Hires in WellSky - Corsicana,Hires in WellSky - Nacodoches,Hires inWellSky - Texarkana,Hires in WellSky - Sulphur Springs
44780,17,31,9,2,0,0,5,26,5,1,0,0,1,3,1,1,0,0,1,7,1,0,3,0
44787,19,26,10,3,11,0,8,12,4,0,6,0,0,3,2,0,0,0,9,6,2,0,0,0
44794,23,23,7,10,8,0,15,20,6,6,4,0,0,3,1,0,0,0,5,3,0,2,2,0
44801,0,22,0,14,0,0,0,15,0,5,0,0,0,4,0,2,0,0,4,4,0,4,0,0
44808,0,18,0,14,6,0,0,10,0,9,1,0,0,6,0,2,1,0,0,3,0,1,0,0
44815,17,17,9,18,15,0,10,9,7,10,7,0,1,3,2,9,3,0,1,7,1,1,6,0
44822,8,14,0,21,12,0,3,8,0,14,7,0,4,2,0,4,2,0,3,1,0,5,1,0
44829,19,13,6,10,11,0,8,8,6,3,4,0,4,3,1,4,0,0,4,6,0,3,7,0
44836,17,16,14,16,0,0,8,7,7,11,0,0,5,3,2,3,0,0,0,0,0,0,0,0
44843,22,5,9,34,0,0,8,2,5,17,0,0,4,2,1,5,0,0,14,5,1,8,1,0
44850,27,18,10,16,0,0,14,9,5,4,0,0,3,3,1,4,0,0,7,7,6,2,1,0
44857,12,3,6,22,0,0,3,1,3,8,0,0,5,0,0,5,0,0,5,3,1,2,0,0
44864,22,9,2,8,0,0,12,4,1,5,0,0,4,2,0,4,0,0,3,1,1,2,0,0
44871,21,6,4,34,0,0,11,3,4,18,0,0,4,3,0,4,0,0,6,3,0,5,0,0
44878,25,8,4,22,0,0,9,5,1,13,0,0,5,2,2,4,0,0,6,0,4,5,0,0
44885,23,17,18,14,0,0,9,8,7,7,0,0,6,4,3,3,0,0,0,0,0,0,0,0
44892,6,7,3,3,0,0,3,4,2,2,0,0,5,3,0,2,0,0,1,2,1,1,0,0
44899,15,4,5,15,0,0,6,1,1,9,0,0,6,0,0,2,0,0,3,3,1,3,0,0
44906,17,11,3,15,0,0,4,7,1,6,0,0,6,1,0,2,0,0,5,2,1,1,0,0
44913,27,0,3,4,0,0,10,0,0,2,0,0,5,0,1,0,0,0,9,1,0,1,0,0
44920,19,0,6,13,0,0,9,0,3,3,0,0,4,0,1,3,0,0,0,0,0,0,0,0
44927,8,6,1,6,0,0,4,4,1,3,0,0,2,2,0,1,0,0,8,0,1,2,1,0
44934,7,21,4,9,0,0,6,11,3,2,0,0,2,2,1,1,0,0,0,7,1,1,1,0
44941,6,19,9,5,1,0,2,10,6,2,0,0,4,10,2,1,1,0,2,5,0,1,1,0
44948,8,28,6,10,0,0,2,17,4,5,0,0,4,10,2,3,0,0,2,5,4,1,0,0
44955,12,7,9,3,0,0,2,1,5,1,0,0,4,4,2,0,0,0,4,3,3,2,0,0
44962,7,17,6,10,0,0,3,12,1,4,0,0,2,5,2,2,0,0,2,3,0,1,0,0
44969,5,19,6,11,0,0,3,10,1,4,0,0,1,6,4,5,0,0,0,3,3,2,0,0
44976,3,17,5,14,0,0,3,7,0,4,0,0,1,7,1,5,0,0,0,5,2,1,0,0
44983,8,19,6,11,8,0,4,11,2,4,3,0,2,10,2,5,3,0,1,4,1,2,2,0
44990,8,24,0,11,0,0,3,8,0,6,0,0,2,12,0,3,1,0,3,0,0,2,1,0
44997,17,20,8,7,11,0,7,8,1,4,2,0,4,7,3,4,3,0,1,2,3,1,1,0
45004,14,15,3,10,17,0,5,8,1,6,3,0,6,12,2,4,4,0,4,3,0,1,3,0
45011,10,12,8,8,0,3,6,6,5,4,0,1,7,6,2,6,1,2,1,2,1,1,1,3
45018,14,13,14,11,14,0,5,7,6,5,4,0,6,10,3,9,5,2,4,4,4,3,1,0
45025,23,16,6,17,0,0,8,6,3,9,0,0,8,8,4,5,5,0,6,7,2,4,3,0
45032,21,16,7,2,13,0,11,9,4,0,5,0,4,6,2,0,5,0,4,2,4,4,3,1
45039,21,28,10,0,28,0,10,16,4,0,9,0,2,4,2,0,6,0,2,3,1,0,6,0
45046,17,19,10,7,0,0,12,7,4,2,0,0,1,8,2,7,3,0,1,6,2,3,3,0
45053,23,26,7,7,5,7,17,20,3,3,3,3,7,3,3,7,0,1,3,2,2,0,0,0
45060,12,16,4,13,3,11,3,10,2,7,2,4,4,5,4,8,2,2,4,1,1,1,0,1
45067,15,29,8,11,12,5,10,13,2,6,4,3,6,7,5,7,2,1,5,6,1,3,3,3
45074,23,35,17,19,6,6,14,13,8,11,3,3,6,9,5,11,2,1,2,5,8,2,1,0
45081,23,27,5,28,19,11,8,13,2,13,8,6,6,8,5,9,1,0,9,3,1,5,2,2
45088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
