Date,Interviews Scheduled - Tyler,Interviews Scheduled - Longview,Interviews Scheduled - Corsicana,Interviews Scheduled - Nacodoches,Interviews Scheduled - Texarkana,Interviews Scheduled - Sulphur Springs,NCNS to Interview - Tyler,NCNS to Interview - Longview,NCNS to Interview - Corsicana,NCNS to Interview - Nacodoches,NCNS to Interview - Texarkana,NCNS to Interview - Sulphur Springs,Open Major Hiring Needs - Tyler,Open Major Hiring Needs - Longview,Open Major Hiring Needs - Corsicana,Open Major Hiring Needs - Nacodoches,Open Major Hiring Needs - Texarkana,Open Major Hiring Needs - Sulphur Springs,Hires in WellSky - Tyler,Hires in WellSky - Longview,Hires in WellSky - Corsicana,Hires in WellSky - Nacodoches,Hires inWellSky - Texarkana,Hires in WellSky - Sulphur Springs
8/7/22,17,31,9,2,0,0,5,26,5,1,0,0,1,3,1,1,0,0,1,7,1,0,3,0
8/14/22,19,26,10,3,11,0,8,12,4,0,6,0,0,3,2,0,0,0,9,6,2,0,0,0
8/21/22,23,23,7,10,8,0,15,20,6,6,4,0,0,3,1,0,0,0,5,3,0,2,2,0
8/28/22,0,22,0,14,0,0,0,15,0,5,0,0,0,4,0,2,0,0,4,4,0,4,0,0
9/4/22,0,18,0,14,6,0,0,10,0,9,1,0,0,6,0,2,1,0,0,3,0,1,0,0
9/11/22,17,17,9,18,15,0,10,9,7,10,7,0,1,3,2,9,3,0,1,7,1,1,6,0
9/18/22,8,14,0,21,12,0,3,8,0,14,7,0,4,2,0,4,2,0,3,1,0,5,1,0
9/25/22,19,13,6,10,11,0,8,8,6,3,4,0,4,3,1,4,0,0,4,6,0,3,7,0
10/2/22,17,16,14,16,0,0,8,7,7,11,0,0,5,3,2,3,0,0,0,0,0,0,0,0
10/9/22,22,5,9,34,0,0,8,2,5,17,0,0,4,2,1,5,0,0,14,5,1,8,1,0
10/16/22,27,18,10,16,0,0,14,9,5,4,0,0,3,3,1,4,0,0,7,7,6,2,1,0
10/23/22,12,3,6,22,0,0,3,1,3,8,0,0,5,0,0,5,0,0,5,3,1,2,0,0
10/30/22,22,9,2,8,0,0,12,4,1,5,0,0,4,2,0,4,0,0,3,1,1,2,0,0
11/6/22,21,6,4,34,0,0,11,3,4,18,0,0,4,3,0,4,0,0,6,3,0,5,0,0
11/13/22,25,8,4,22,0,0,9,5,1,13,0,0,5,2,2,4,0,0,6,0,4,5,0,0
11/20/22,23,17,18,14,0,0,9,8,7,7,0,0,6,4,3,3,0,0,0,0,0,0,0,0
11/27/22,6,7,3,3,0,0,3,4,2,2,0,0,5,3,0,2,0,0,1,2,1,1,0,0
12/4/22,15,4,5,15,0,0,6,1,1,9,0,0,6,0,0,2,0,0,3,3,1,3,0,0
12/11/22,17,11,3,15,0,0,4,7,1,6,0,0,6,1,0,2,0,0,5,2,1,1,0,0
12/18/22,27,0,3,4,0,0,10,0,0,2,0,0,5,0,1,0,0,0,9,1,0,1,0,0
